name,aliases,cas,smiles,formula,mw,bp_c,mp_c,density_20c,flash_point_c,dielectric,hansen_d,hansen_p,hansen_h,water_miscibility,peroxide_former,ich_class,ich_limit_ppm,greenness_band,hazard_flags,antoine_a,antoine_b,antoine_c,hvap_kj_mol,antoine_tmin_k,antoine_tmax_k
"1,2-dichloroethane","EDC;1,2-DCE",107-06-2,ClCCCl,C2H4Cl2,98.96,83.5,-35.7,1.253,13,10.4,19.0,7.4,4.1,immiscible,no,1,5,highly_hazardous,highly_flammable;carcinogen_cat1b,,,,,,
toluene,PhMe;methylbenzene,108-88-3,Cc1ccccc1,C7H8,92.14,110.6,-95.0,0.867,4,2.4,18.0,1.4,2.0,immiscible,no,2,890,problematic,highly_flammable;reprotoxic_cat2;stot_re,4.07827,1343.943,-53.773,33.18,308.52,384.66
benzene,PhH,71-43-2,c1ccccc1,C6H6,78.11,80.1,5.5,0.876,-11,2.3,18.4,0.0,2.0,immiscible,no,1,2,highly_hazardous,highly_flammable;carcinogen_cat1a;mutagen_cat1b;svhc,4.72583,1660.652,-1.461,30.72,333.4,373.5
p-xylene,"para-xylene;1,4-dimethylbenzene",106-42-3,Cc1ccc(C)cc1,C8H10,106.17,138.3,13.2,0.861,27,2.3,17.6,1.0,3.1,immiscible,no,2,2170,problematic,flammable;stot_re,,,,,,
n-heptane,heptane,142-82-5,CCCCCCC,C7H16,100.20,98.4,-90.6,0.684,-4,1.9,15.3,0.0,0.0,immiscible,no,3,5000,problematic,highly_flammable;aspiration_hazard;aquatic_tox,4.02832,1268.636,-56.199,31.77,299.07,372.43
n-hexane,hexane,110-54-3,CCCCCC,C6H14,86.18,68.7,-95.3,0.659,-22,1.9,14.9,0.0,0.0,immiscible,no,2,290,hazardous,highly_flammable;reprotoxic_cat2;stot_re;aspiration_hazard,4.00266,1171.530,-48.784,28.85,286.18,342.69
cyclohexane,,110-82-7,C1CCCCC1,C6H12,84.16,80.7,6.5,0.779,-20,2.0,16.8,0.0,0.2,immiscible,no,2,3880,problematic,highly_flammable;aspiration_hazard;aquatic_tox,3.9920,1216.930,-48.621,29.97,303.0,343.0
methylcyclohexane,MCH,108-87-2,CC1CCCCC1,C7H14,98.19,100.9,-126.6,0.770,-4,2.0,16.0,0.0,1.0,immiscible,no,2,1180,problematic,highly_flammable;aspiration_hazard;aquatic_tox,,,,,,
acetonitrile,MeCN;ACN,75-05-8,CC#N,C2H3N,41.05,81.6,-45.0,0.786,2,37.5,15.3,18.0,6.1,miscible,no,2,410,problematic,highly_flammable;acute_tox,4.27873,1355.374,-37.853,29.75,288.3,362.3
"N,N-dimethylformamide",DMF,68-12-2,CN(C)C=O,C3H7NO,73.09,153.0,-60.4,0.944,58,36.7,17.4,13.7,11.3,miscible,no,2,880,highly_hazardous,reprotoxic_cat1b;svhc,,,,38.30,,
"N,N-dimethylacetamide",DMAc;DMA,127-19-5,CC(=O)N(C)C,C4H9NO,87.12,165.0,-20.0,0.937,63,37.8,16.8,11.5,10.2,miscible,no,2,1090,highly_hazardous,reprotoxic_cat1b;svhc,,,,,,
N-methylpyrrolidone,NMP;1-methyl-2-pyrrolidinone,872-50-4,CN1CCCC1=O,C5H9NO,99.13,202.0,-24.0,1.028,91,32.2,18.0,12.3,7.2,miscible,no,2,530,highly_hazardous,reprotoxic_cat1b;svhc,,,,,,
dimethyl sulfoxide,DMSO,67-68-5,CS(C)=O,C2H6OS,78.13,189.0,18.5,1.100,89,46.7,18.4,16.4,10.2,miscible,no,3,5000,problematic,skin_permeation_enhancer,,,,,,
sulfolane,tetramethylene sulfone,126-33-0,O=S1(=O)CCCC1,C4H8O2S,120.17,285.0,27.5,1.261,165,43.3,20.3,18.2,10.9,miscible,no,2,160,problematic,acute_tox,,,,,,
pyridine,,110-86-1,c1ccncc1,C5H5N,79.10,115.2,-41.6,0.982,20,12.3,19.0,8.8,5.9,miscible,no,2,200,hazardous,highly_flammable;acute_tox,,,,,,
triethylamine,TEA;Et3N,121-44-8,CCN(CC)CC,C6H15N,101.19,89.5,-114.7,0.726,-9,2.4,15.5,0.4,1.0,partial,no,3,5000,hazardous,highly_flammable;acute_tox;corrosive,,,,,,
acetic acid,AcOH,64-19-7,CC(O)=O,C2H4O2,60.05,118.1,16.6,1.049,39,6.2,14.5,8.0,13.5,miscible,no,3,5000,recommended,flammable;corrosive,4.68206,1642.540,-39.764,23.70,290.26,391.01
formic acid,,64-18-6,OC=O,CH2O2,46.03,100.8,8.4,1.220,50,58.5,14.3,11.9,16.6,miscible,no,3,5000,problematic,corrosive;flammable,,,,,,
anisole,methoxybenzene,100-66-3,COc1ccccc1,C7H8O,108.14,153.7,-37.5,0.995,41,4.3,17.8,4.1,6.8,immiscible,no,3,5000,recommended,flammable,,,,,,
dimethyl carbonate,DMC,616-38-6,COC(=O)OC,C3H6O3,90.08,90.0,4.6,1.070,17,3.1,15.5,3.9,9.7,partial,no,not_listed,,recommended,highly_flammable,,,,,,
propylene carbonate,"PC;4-methyl-1,3-dioxolan-2-one",108-32-7,CC1COC(=O)O1,C4H6O3,102.09,242.0,-48.8,1.205,132,64.9,20.0,18.0,4.1,partial,no,not_listed,,recommended,eye_irritant,,,,,,
